title,url
"Kanchigai no Atelier Meister: Eiyuu Party no Moto Zatsuyougakari ga, Jitsu wa Sentou Igai ga SSS Rank Datta to Iu Yoku Aru Hanashi",https://mangalivre.net/manga/kanchigai-no-atelier-meister-eiyuu-party-no-moto-zatsuyougakari-ga-jitsu-wa-sentou-igai-ga-sss-rank-datta-to-iu-yoku-aru-hanashi/11491
Regina Rena - To the Unforgiven,https://mangalivre.net/manga/regina-rena---to-the-unforgiven/14338
Tales Of Demons And Gods,https://mangalivre.net/manga/tales-of-demons-and-gods/2412
Jiken-Jaken!,https://mangalivre.net/manga/jiken-jaken/7595
Player,https://mangalivre.net/manga/player/9825
How to be a Dark Hero’s Daughter,https://mangalivre.net/manga/how-to-be-a-dark-heros-daughter/13233
Koushaku Reijou no Tashinami,https://mangalivre.net/manga/koushaku-reijou-no-tashinami/6983
Koutei no Hitori Musume - Daughter of the Emperor,https://mangalivre.net/manga/koutei-no-hitori-musume---daughter-of-the-emperor/8388
The Strongest Characters in the World are Obsessed With Me,https://mangalivre.net/manga/the-strongest-characters-in-the-world-are-obsessed-with-me/13698
Arcane Sniper,https://mangalivre.net/manga/arcane-sniper/11978
My Three Thousand Years to the Sky,https://mangalivre.net/manga/my-three-thousand-years-to-the-sky/11122
"Why Are You Doing This, Duke?",https://mangalivre.net/manga/why-are-you-doing-this-duke/8608
